0,0,0
83,35,27
99,35,27
99,19,27
131,19,27
131,27,27
159,27,27
159,19,27
175,27,27
191,43,27
215,67,27
223,91,59
223,107,67
207,99,67
199,99,67
183,91,51
183,67,35
167,67,51
131,59,51
131,75,59
107,59,59
83,51,51
75,59,67
67,35,43
67,35,27
67,19,27
51,19,27
51,27,27
43,27,27
43,19,27
35,19,27
27,19,27
0,0,0
35,19,35
43,19,35
43,27,43
27,27,51
27,19,43
19,19,43
35,43,43
35,67,59
35,43,83
27,59,115
35,67,131
43,91,107
51,99,99
59,115,131
83,91,139
83,115,167
115,115,167
151,115,167
183,123,151
191,139,159
199,159,139
207,167,159
223,167,159
231,159,151
239,175,151
239,183,159
247,183,159
247,199,159
247,199,167
239,199,167
239,207,175
247,207,175
255,207,175
255,215,175
255,223,183
255,223,191
255,231,191
255,231,199
247,239,199
239,239,207
239,231,199
239,223,191
239,223,183
239,215,175
247,215,183
247,207,183
239,207,183
247,215,191
255,231,183
247,239,183
247,247,191
255,239,207
255,247,215
255,255,223
239,247,215
223,231,215
207,215,207
199,199,199
199,183,207
191,183,207
183,183,215
175,183,215
175,191,215
159,183,215
159,175,207
159,159,207
175,167,207
183,167,207
191,167,199
207,183,191
223,183,175
223,199,183
223,215,183
223,199,159
239,207,159
255,207,159
255,215,159
247,223,167
247,223,139
247,199,139
247,191,139
239,183,139
255,183,139
255,167,123
255,183,115
247,191,99
247,183,91
255,167,99
231,159,99
231,167,123
215,183,115
247,199,107
247,183,67
247,167,59
239,139,51
231,123,59
191,123,99
191,131,107
223,123,115
231,139,123
191,167,91
151,159,123
151,139,139
159,115,107
175,99,99
151,91,75
131,75,91
99,67,99
67,67,115
131,91,123
123,115,99
107,151,131
75,151,183
59,139,191
59,159,207
75,167,215
83,167,215
83,167,199
91,183,199
99,183,199
99,191,207
99,183,215
99,183,223
99,191,223
99,199,223
107,199,223
115,199,223
123,199,223
123,207,223
131,207,223
131,207,231
139,207,223
139,215,223
151,207,207
159,215,215
167,223,223
191,231,223
131,199,207
115,199,207
115,183,215
115,183,223
107,183,223
107,183,215
107,191,223
115,199,231
107,207,223
115,215,231
91,191,215
91,183,215
91,183,223
75,183,215
115,183,199
115,167,199
159,183,175
183,167,167
215,183,159
255,255,255
83,115,67
67,67,255
67,67,67
203,107,39
159,83,35
131,75,31
87,59,27
255,227,211
255,199,171
255,167,151
255,139,119
203,119,107
167,91,51
239,239,239
215,215,215
167,167,167
115,115,115
55,55,55
159,31,31
111,27,27
0,0,0
215,0,0
71,115,31
15,83,15
171,155,255
127,111,243
95,71,155
255,199,31
139,151,123
115,119,87
83,71,59
199,51,119
155,27,87
79,55,135
95,187,59
0,255,0
159,67,163
103,43,111
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
243,195,127
215,163,111
155,103,67
255,75,23
127,179,255
255,179,127
0,255,191
199,163,111
179,143,91
155,115,63
91,63,23
219,171,143
195,143,119
139,87,79
255,95,95
0,255,0
255,151,211
0,255,255
255,255,0
255,255,255
